gene_id	TCGA-05-4417-01A-22R-1858-07	TCGA-35-3615-01A-01R-0946-07	TCGA-44-6776-01A-11R-1858-07	TCGA-44-7671-01A-11R-2066-07	TCGA-55-7281-01A-11R-2039-07	TCGA-55-8203-01A-11R-2241-07	TCGA-55-8299-01A-11R-2287-07	TCGA-55-8615-01A-11R-2403-07	TCGA-62-A46S-01A-11R-A24H-07	TCGA-69-7980-01A-11R-2187-07	TCGA-78-7148-01A-11R-2039-07	TCGA-78-7160-01A-11R-2039-07	TCGA-78-7161-01A-11R-2039-07	TCGA-86-7713-01A-11R-2066-07	TCGA-4B-A93V-01A-11R-A39D-07	TCGA-50-5933-01A-11R-1755-07	TCGA-55-6975-01A-11R-1949-07	TCGA-55-7283-01A-11R-2039-07	TCGA-55-7911-01A-11R-2170-07	TCGA-55-7914-01A-11R-2170-07	TCGA-55-8514-01A-11R-2403-07	TCGA-69-7978-01A-11R-2187-07
C6orf201|404220	5.0894	7.4756	17.2629	3.781	2.2792	6.4867	11.4038	8.0267	55.2141	7.9645	2.1271	6.3155	8.4508	16.8508	8.1931	1.0205	0	1.0025	8.4578	2.4988	11.6129	9.082
C6orf203|51250	141.689	150.747	140.086	171.091	164.672	171.065	162.61	139.572	102.87	168.415	146.238	196.845	132.642	81.7652	108.729	104.094	129.925	135.338	140.611	154.923	249.677	136.853
C6orf204|387119	28.592	10.3964	7.9023	23.3163	14.245	41.2496	46.4601	6.4171	17.2185	28.1712	21.8027	87.0662	19.8411	8.417	50.0345	30.1055	50.2934	42.6065	38.06	12.4938	5.1613	68.9307
C6orf208|80069	2.1031	1.0429	0	2.026	1.2194	6.7819	1.284	4.9947	0.5033	0.6767	2.2122	0	34.3141	1.1134	7.6495	1.1634	3.772	7.4185	2.1937	5.5272	0.671	4.035
C6orf211|79624	580.736	600.065	1671.7	968.255	743.59	647.862	624.677	518.182	867.108	587.614	971.018	1227.13	663.575	613.239	313.197	778.151	926.236	822.055	580.415	844.078	654.193	645.595
C6orf217|100131814	1.9061	1.9493	10.7759	39.7007	2.849	0.4044	4.2236	0.5348	0	0.9186	5.3177	13.2492	12.1251	0	1.9244	0	2.5147	2.005	1.5858	1.4993	17.4194	1.0087
C6orf218|221718	0.6354	0	0	0.9453	0.5698	0	3.8013	0	0	0.3062	1.5953	0	0.3674	0	1.9244	5.6129	8.3822	0	0	0.4998	1.2903	0
C6orf221|154288	0	0	0	0.3151	0	0	0.4224	0	0	0	0	0	1.4697	0	0	0	0	0	0	0	0	0
C6orf222|389384	19.0614	9.0968	0.7184	0	93.4473	16.5807	38.4352	2.6738	10.1545	258.44	10.1037	74.4479	4.0417	0.481	1.9244	1.0205	3.3529	5.5138	1.5858	27.4863	11.6129	3.0262
C6orf223|221416	39.5015	14.9448	22.9885	30.0496	305.413	544.135	263.07	300.396	13.245	75.3273	196.118	239.748	417.765	26.4534	14.433	395.071	6.7058	422.045	1123.07	137.391	140	1636.29
